"country_name","classification"
"Afghanistan","West Asia"
"Algeria","Africa"
"American Samoa","North America"
"Angola","Africa"
"Anguilla","Africa"
"Argentina","South America"
"Armenia","West Asia"
"Australia","Others"
"Austria","Europe"
"Azerbaijan","West Asia"
"Bahrain","Others"
"Bangladesh","Others"
"Belarus","Others"
"Bolivia","Others"
"Brazil","South America"
"Brunei","Others"
"Bulgaria","Others"
"Cambodia","Others"
"Cameroon","Others"
"Canada","North America"
"Chad","Others"
"Chile","Others"
"China","Others"
"Colombia","South America"
"Congo, The Democratic Republic of the","Others"
"Czech Republic","Others"
"Dominican Republic","Others"
"Ecuador","Others"
"Egypt","Others"
"Estonia","Others"
"Ethiopia","Others"
"Faroe Islands","Others"
"Finland","Others"
"France","Europe"
"French Guiana","Others"
"French Polynesia","Others"
"Gambia","Others"
"Germany","Others"
"Greece","Others"
"Greenland","Others"
"Holy See (Vatican City State)","Others"
"Hong Kong","Others"
"Hungary","Others"
"India","Others"
"Indonesia","Others"
"Iran","Others"
"Iraq","Others"
"Israel","Others"
"Italy","Others"
"Japan","Others"
"Kazakstan","Others"
"Kenya","Others"
"Kuwait","Others"
"Latvia","Others"
"Liechtenstein","Others"
"Lithuania","Others"
"Madagascar","Others"
"Malawi","Others"
"Malaysia","Others"
"Mexico","Others"
"Moldova","Others"
"Morocco","Others"
"Mozambique","Others"
"Myanmar","Others"
"Nauru","Others"
"Nepal","Others"
"Netherlands","Others"
"New Zealand","Others"
"Nigeria","Others"
"North Korea","Others"
"Oman","Others"
"Pakistan","Others"
"Paraguay","Others"
"Peru","Others"
"Philippines","Others"
"Poland","Others"
"Puerto Rico","Others"
"Romania","Others"
"Runion","Others"
"Russian Federation","Others"
"Saint Vincent and the Grenadines","Others"
"Saudi Arabia","Others"
"Senegal","Others"
"Slovakia","Others"
"South Africa","Others"
"South Korea","Others"
"Spain","Others"
"Sri Lanka","Others"
"Sudan","Others"
"Sweden","Others"
"Switzerland","Others"
"Taiwan","Others"
"Tanzania","Others"
"Thailand","Others"
"Tonga","Others"
"Tunisia","Others"
"Turkey","Others"
"Turkmenistan","Others"
"Tuvalu","Others"
"Ukraine","Others"
"United Arab Emirates","Others"
"United Kingdom","Europe"
"United States","North America"
"Venezuela","Others"
"Vietnam","Others"
"Virgin Islands, U.S.","Others"
"Yemen","Others"
"Yugoslavia","Others"
"Zambia","Others"
